year,product_id,total_sales,sales_north_america,sales_europe,sales_asia,sales_south_america,sales_africa,average_price
2027,product_9f74363b,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_baa67657,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_3cd35d28,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_0a763bab,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_95750f15,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_1b017aa3,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_e03cc149,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2027,product_998db6f7,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_9f74363b,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_baa67657,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_3cd35d28,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_0a763bab,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_95750f15,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_1b017aa3,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_e03cc149,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_998db6f7,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_33079407,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_b693e508,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_7c43ff56,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_9455944c,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_4e0cb4d1,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_28d6d0ac,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_5260e736,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_04f0ef75,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_32920e47,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_7b5e70f4,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2028,product_41528ecf,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_9f74363b,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_baa67657,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_3cd35d28,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_0a763bab,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_95750f15,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_1b017aa3,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_e03cc149,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_998db6f7,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_33079407,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_b693e508,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_7c43ff56,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_9455944c,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_4e0cb4d1,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_28d6d0ac,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_5260e736,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_04f0ef75,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_32920e47,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_7b5e70f4,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_41528ecf,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_76417887,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_da528f5e,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_76895992,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_745230f2,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_87b83055,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_a7d880c1,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_ba4bb53d,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_38ad6f91,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_787e00fe,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_d38ad9f0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2029,product_9f0128be,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_9f74363b,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_baa67657,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_3cd35d28,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_0a763bab,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_95750f15,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_1b017aa3,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_e03cc149,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_998db6f7,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_33079407,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_b693e508,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_7c43ff56,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_9455944c,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_4e0cb4d1,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_28d6d0ac,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_5260e736,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_04f0ef75,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_32920e47,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_7b5e70f4,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_41528ecf,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_76417887,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_da528f5e,0.0,0.0,0.0,0.0,0.0,0.0,116.0
2030,product_76895992,0.0,0.0,0.0,0.0,0.0,0.0,116.0
